Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d)"
Madagascar,14 Sep 2000,24 Nov 2003
Malawi,24 May 2000,27 Feb 2009
Malaysia,24 May 2000,3 Sep 2003
Maldives,,3 Sep 2002 a
Mali,4 Apr 2001,28 Aug 2002
Malta,,5 Jan 2007 a
Marshall Islands,,27 Jan 2003 a
Mauritania,,22 Jul 2005 a
Mauritius,,11 Apr 2002 a
Mexico,24 May 2000,27 Aug 2002
Monaco,24 May 2000,
Mongolia,,22 Jul 2003 a
Montenegro,,23 Oct 2006 d
Morocco,25 May 2000,25 Apr 2011
Mozambique,24 May 2000,21 Oct 2002
Myanmar,11 May 2001,13 Feb 2008
Namibia,24 May 2000,10 Feb 2005
Nauru,,12 Nov 2001 a
Nepal,2 Mar 2001,
Netherlands,24 May 2000,8 Jan 2002 A
New Zealand,24 May 2000,24 Feb 2005
Nicaragua,26 May 2000,28 Aug 2002
Niger,24 May 2000,30 Sep 2004
Nigeria,24 May 2000,15 Jul 2003
Niue,,8 Jul 2002 a
Norway,24 May 2000,10 May 2001
Oman,,11 Apr 2003 a
Pakistan,4 Jun 2001,2 Mar 2009
Palau,29 May 2001,13 Jun 2003
Panama,11 May 2001,1 May 2002
Papua New Guinea,,14 Oct 2005 a
Paraguay,3 May 2001,10 Mar 2004
Peru,24 May 2000,14 Apr 2004
Philippines,24 May 2000,5 Oct 2006
Poland,24 May 2000,10 Dec 2003
Portugal,24 May 2000,30 Sep 2004 A
Qatar,,14 Mar 2007 a
Republic of Korea,6 Sep 2000,3 Oct 2007
Republic of Moldova,14 Feb 2001,4 Mar 2003
Romania,11 Oct 2000,30 Jun 2003
Rwanda,24 May 2000,22 Jul 2004
Samoa,24 May 2000,30 May 2002
Saudi Arabia,,9 Aug 2007 a
Senegal,31 Oct 2000,8 Oct 2003
Serbia,,8 Feb 2006 a
Seychelles,23 Jan 2001,13 May 2004
Slovakia,24 May 2000,24 Nov 2003
Slovenia,24 May 2000,20 Nov 2002
Solomon Islands,,28 Jul 2004 a
Somalia,,26 Jul 2010 a
South Africa,,14 Aug 2003 a
Spain,24 May 2000,16 Jan 2002
Sri Lanka,24 May 2000,28 Apr 2004
St. Kitts and Nevis,,23 May 2001 a
St. Lucia,,16 Jun 2005 a
St. Vincent and the Grenadines,,27 Aug 2003 a
Sudan,,13 Jun 2005 a
Suriname,,27 Mar 2008 a
Swaziland,,13 Jan 2006 a
Sweden,24 May 2000,8 Aug 2002
Switzerland,24 May 2000,26 Mar 2002
Syrian Arab Republic,,1 Apr 2004 a
Tajikistan,,12 Feb 2004 a
Thailand,,10 Nov 2005 a
The former Yugoslav Republic of Macedonia,26 Jul 2000,14 Jun 2005
Togo,24 May 2000,2 Jul 2004
Tonga,,18 Sep 2003 a
Trinidad and Tobago,,5 Oct 2000 a
Tunisia,19 Apr 2001,22 Jan 2003
Turkey,24 May 2000,24 Oct 2003
Turkmenistan,,21 Aug 2008 a
Uganda,24 May 2000,30 Nov 2001
Ukraine,,6 Dec 2002 a
United Kingdom of Great Britain and Northern Ireland,24 May 2000,19 Nov 2003
United Republic of Tanzania,,24 Apr 2003 a
Uruguay,1 Jun 2001,2 Nov 2011
Venezuela (Bolivarian Republic of),24 May 2000,13 May 2002
Viet Nam,,21 Jan 2004 a
Yemen,,1 Dec 2005 a
Zambia,,27 Apr 2004 a
Zimbabwe,4 Jun 2001,25 Feb 2005
